price,sqft,tax
2050,2650,1639
2080,2600,1088
2150,2664,1193
2150,2921,1635
1999,2580,1732
1900,2580,1534
1800,2774,1765
1560,1920,1161
1449,1710,1010
1375,1837,1191
1270,1880,930
1250,2150,984
1235,1894,1112
1170,1928,600
1180,1830,733
1155,1767,794
1110,1630,867
1139,1680,750
995,1725,923
995,1500,743
975,1430,752
975,1360,696
900,1400,731
960,1573,768
860,1385,653
1695,2931,1142
1553,2200,1035
1300,2000,1076
1020,1478,626
1020,1713,600
922,1326,668
925,1050,553
899,1464,566
850,1190,600
890,1746,591
870,1280,599
700,1215,477
720,1121,398
749,1733,656
731,1299,585
725,1140,490
670,1181,440
2150,2848,1487
1599,2440,1265
1350,2253,939
1299,2743,1232
1250,2180,1141
1239,1706,810
1200,1948,899
1125,1710,800
1100,1657,865
1080,2200,1076
1050,1680,875
1049,1900,690
955,1565,648
934,1543,820
875,1173,456
889,1549,723
855,1900,780
835,1560,638
810,1365,673
805,1258,821
799,1314,671
750,1338,649
759,997,461
750,1030,486
730,1027,427
729,1007,513
710,1083,504
670,1350,622
619,837,342
1295,3750,1200
975,1500,700
939,1428,701
820,1375,585
780,1080,600
770,900,391
700,1505,591
540,1142,223
1070,1464,376
2100,2116,1209
725,1280,447
660,1159,225
580,1051,426
1844,2250,915
1580,2563,1189
699,1400,481
1160,1720,867
1109,1740,816
1129,1700,725
1050,1620,800
1045,1630,750
1050,1920,944
1020,1606,811
1000,1535,668
1030,1540,826
975,1739,880
950,1715,900
940,1305,647
920,1415,866
945,1580,810
874,1236,707
872,1229,721
870,1273,638
869,1165,694
766,1200,634
739,970,541
